period,source,record_id,answer,tags
1,owner_cost,4610.01.01,S1-H1-ELEC-SWG,
1,owner_cost,4610.01.02,S1-H1-ELEC-UPS,
1,owner_cost,4610.01.03,S1-H1-ELEC-BUS,
1,owner_cost,4620.01.04,S1-H1-MECH-CRAH,
1,owner_cost,4620.01.05,S1-H1-MECH-CHW,
1,owner_cost,4630.01.06,S1-H1-CTRL-BMS,
1,owner_cost,4630.01.07,S1-H1-CTRL-EPMS,
1,owner_cost,4610.02.01,S1-H2-ELEC-SWG,
1,owner_cost,4610.02.02,S1-H2-ELEC-UPS,
1,owner_cost,4610.02.03,S1-H2-ELEC-BUS,
1,owner_cost,4620.02.04,S1-H2-MECH-CRAH,
1,owner_cost,4620.02.05,S1-H2-MECH-CHW,
1,owner_cost,4630.02.06,S1-H2-CTRL-BMS,
1,owner_cost,4630.02.07,S1-H2-CTRL-EPMS,
1,owner_cost,4610.03.01,S1-H3-ELEC-SWG,
1,owner_cost,4610.03.02,S1-H3-ELEC-UPS,
1,owner_cost,4610.03.03,S1-H3-ELEC-BUS,
1,owner_cost,4620.03.04,S1-H3-MECH-CRAH,
1,owner_cost,4620.03.05,S1-H3-MECH-CHW,
1,owner_cost,4630.03.06,S1-H3-CTRL-BMS,
1,owner_cost,4630.03.07,S1-H3-CTRL-EPMS,
1,owner_cost,4900.10.01,NO_WBS,indirect
1,owner_cost,4900.11.01,NO_WBS,indirect
1,owner_cost,4900.12.01,NO_WBS,indirect
2,owner_cost,4610.01.01,S1-H1-ELEC-SWG,
2,owner_cost,4610.01.02,S1-H1-ELEC-UPS,
2,owner_cost,4610.01.03,S1-H1-ELEC-BUS,
2,owner_cost,4620.01.04,S1-H1-MECH-CRAH,
2,owner_cost,4620.01.05,S1-H1-MECH-CHW,
2,owner_cost,4630.01.06,S1-H1-CTRL-BMS,
2,owner_cost,4630.01.07,S1-H1-CTRL-EPMS,
2,owner_cost,4610.02.01,S1-H2-ELEC-SWG,
2,owner_cost,4610.02.02,S1-H2-ELEC-UPS,
2,owner_cost,4610.02.03,S1-H2-ELEC-BUS,
2,owner_cost,4620.02.04,S1-H2-MECH-CRAH,
2,owner_cost,4620.02.05,S1-H2-MECH-CHW,
2,owner_cost,4630.02.06,S1-H2-CTRL-BMS,
2,owner_cost,4630.02.07,S1-H2-CTRL-EPMS,
2,owner_cost,4610.03.01,S1-H3-ELEC-SWG,
2,owner_cost,4610.03.02,S1-H3-ELEC-UPS,
2,owner_cost,4610.03.03,S1-H3-ELEC-BUS,
2,owner_cost,4620.03.04,S1-H3-MECH-CRAH,
2,owner_cost,4620.03.05,S1-H3-MECH-CHW,
2,owner_cost,4630.03.06,S1-H3-CTRL-BMS,
2,owner_cost,4630.03.07,S1-H3-CTRL-EPMS,
2,owner_cost,4900.10.01,NO_WBS,indirect
2,owner_cost,4900.11.01,NO_WBS,indirect
2,owner_cost,4900.12.01,NO_WBS,indirect
3,owner_cost,4610.01.01,S1-H1-ELEC-SWG,
3,owner_cost,4610.01.02,S1-H1-ELEC-UPS,
3,owner_cost,4610.01.03,S1-H1-ELEC-BUS,
3,owner_cost,4620.01.04,S1-H1-MECH-CRAH,
3,owner_cost,4620.01.05,S1-H1-MECH-CHW,
3,owner_cost,4630.01.06,S1-H1-CTRL-BMS,
3,owner_cost,4630.01.07,S1-H1-CTRL-EPMS,
3,owner_cost,4610.02.01,S1-H2-ELEC-SWG,
3,owner_cost,4610.02.02,S1-H2-ELEC-UPS,
3,owner_cost,4610.02.03,S1-H2-ELEC-BUS,
3,owner_cost,4620.02.04,S1-H2-MECH-CRAH,
3,owner_cost,4620.02.05,S1-H2-MECH-CHW,
3,owner_cost,4630.02.06,S1-H2-CTRL-BMS,
3,owner_cost,4630.02.07,S1-H2-CTRL-EPMS,
3,owner_cost,4610.03.01,S1-H3-ELEC-SWG,
3,owner_cost,4610.03.02,S1-H3-ELEC-UPS,
3,owner_cost,4610.03.03,S1-H3-ELEC-BUS,
3,owner_cost,4620.03.04,S1-H3-MECH-CRAH,
3,owner_cost,4620.03.05,S1-H3-MECH-CHW,
3,owner_cost,4630.03.06,S1-H3-CTRL-BMS,
3,owner_cost,4630.03.07,S1-H3-CTRL-EPMS,
3,owner_cost,4900.10.01,NO_WBS,indirect
3,owner_cost,4900.11.01,NO_WBS,indirect
3,owner_cost,4900.12.01,NO_WBS,indirect
1,owner_milestones,OM-H1-ENRG,S1-H1-ELEC-SWG,
1,owner_milestones,OM-H2-ENRG,S1-H2-ELEC-SWG,
1,owner_milestones,OM-H3-ENRG,S1-H3-ELEC-SWG,
2,owner_milestones,OM-H1-ENRG,S1-H1-ELEC-SWG,
2,owner_milestones,OM-H2-ENRG,S1-H2-ELEC-SWG,
2,owner_milestones,OM-H3-ENRG,S1-H3-ELEC-SWG,
3,owner_milestones,OM-H1-ENRG,S1-H1-ELEC-SWG,
3,owner_milestones,OM-H2-ENRG,S1-H2-ELEC-SWG,
3,owner_milestones,OM-H3-ENRG,S1-H3-ELEC-SWG,
1,owner_ofe,SWG-S1H1-001,S1-H1-ELEC-SWG,
1,owner_ofe,SWG-S1H1-002,S1-H1-ELEC-SWG,
1,owner_ofe,SWG-S1H1-003,S1-H1-ELEC-SWG,
1,owner_ofe,SWG-S1H1-004,S1-H1-ELEC-SWG,
1,owner_ofe,UPS-S1H1-001,S1-H1-ELEC-UPS,
1,owner_ofe,UPS-S1H1-002,S1-H1-ELEC-UPS,
1,owner_ofe,UPS-S1H1-003,S1-H1-ELEC-UPS,
1,owner_ofe,UPS-S1H1-004,S1-H1-ELEC-UPS,
1,owner_ofe,UPS-S1H1-005,S1-H1-ELEC-UPS,
1,owner_ofe,UPS-S1H1-006,S1-H1-ELEC-UPS,
1,owner_ofe,CRAH-S1H1-001,S1-H1-MECH-CRAH,
1,owner_ofe,CRAH-S1H1-002,S1-H1-MECH-CRAH,
1,owner_ofe,CRAH-S1H1-003,S1-H1-MECH-CRAH,
1,owner_ofe,CRAH-S1H1-004,S1-H1-MECH-CRAH,
1,owner_ofe,CRAH-S1H1-005,S1-H1-MECH-CRAH,
1,owner_ofe,CRAH-S1H1-006,S1-H1-MECH-CRAH,
