Activity ID,Activity Name,WBS Code,Start,Finish,Activity % Complete
NB100001,Receive & set Hall 1 Switch Gear Lineup 1A,26.13.H1.SWG,2025-12-31,2026-02-05,0.621
NB100002,Install & terminate Hall 1 Switch Gear Lineup 1A,26.13.H1.SWG,2026-03-31,2026-08-01,0
NB100003,Test & energize Hall 1 Switch Gear Lineup 1A,26.13.H1.SWG,2026-03-08,2026-04-13,0.353
NB100004,Receive & set Hall 1 Switch Gear Lineup 1B,26.13.H1.SWG,2025-12-02,2026-02-21,20
NB100005,Install & terminate Hall 1 Switch Gear Lineup 1B,26.13.H1.SWG,2025-11-24,2026-01-29,0
NB100006,Test & energize Hall 1 Switch Gear Lineup 1B,26.13.H1.SWG,2025-10-17,2025-12-19,0
NB100007,Receive & set Hall 1 Switch Gear Lineup 1C,26.13.H1.SWG,2025-12-29,2026-02-11,0
NB100008,Install & terminate Hall 1 Switch Gear Lineup 1C,26.13.H1.SWG,2025-12-07,2026-03-30,5
NB100009,Test & energize Hall 1 Switch Gear Lineup 1C,26.13.H1.SWG,2025-11-28,2026-01-12,43
NB100010,Receive & est Hall 1 Switch Gear Lineup 1D,26.13.H1.SWG,2026-01-06,2026-03-12,50
NB100011,Install & terminate Hall 1 Switch Gear Lineup 1D,26.13.H1.SWG,2026-04-16,2026-05-07,100
NB100012,Test & energize Hall 1 Switch Gear Lineup 1D,26.13.H1.SWG,2025-11-30,2026-01-22,0.0
NB111645,Receive & set Hall 1 Critical power modules Module 1A1,26.33.H1.UPS,2026-01-08,2026-03-08,31
NB100014,Install & terminate Hall 1 Critical power modules Module 1A1,26.33.H1.UPS,2026-01-12,2026-06-01,0
NB100015,Test & energize Hall 1 Critical power modules Module 1A1,26.33.H1.UPS,2026-01-19,2026-03-13,28
NB100016,Receive & set Hall 1 Critical power modules Module 1B2,26.33.H1.UPS,2025-12-02,2026-02-01,0
NB100017,Install & terminate Hall 1 Critical power modules Module 1B2,26.33.H1.UPS,2026-01-04,2026-06-01,0
NB111646,Test & energize Hall 1 Critical power modules Module 1B2,26.33.H1.UPS,2026-03-06,2026-05-31,18
NB100019,Receive & set Hall 1 Critical power modules Module 1C3,26.33.H1.UPS,2025-10-24,2025-12-19,49
NB100020,Install & terminate Hall 1 Critical power modules Module 1C3,26.33.H1.UPS,2026-02-24,2026-04-24,0
NB100021,Test & energize Hall 1 Critical power modules Module 1C3,26.33.H1.UPS,2026-02-16,2026-05-18,10
NB100022,Receive & set Hall 1 Critical power modules Module 1D4,26.33.H1.UPS,2025-11-21,2026-03-18,1
NB100023,Install & terminate Hall 1 Critical power modules Module 1D4,26.33.H1.UPS,2026-04-09,2026-05-24,0
NB100024,,26.33.H1.UPS,2026-03-29,2026-06-28,11
NB100025,Receive & set Hall 1 Critical power modules Module 1E5,26.33.H1.UPS,2025-10-15,2026-02-12,0
NB100026,Install & terminate Hall 1 Critical power modules Module 1E5,26.33.H1.UPS,2026-01-21,2026-05-19,0.0
NB100027,Test & energize Hall 1 Critical power modules Module 1E5,26.33.H1.UPS,2026-03-10,2026-05-21,20
NB100028,Receive & set Hall 1 Critical power modules Module 1F6,26.33.H1.UPS,2025-12-29,2026-05-06,0
NB100029,Install & terminate Hall 1 Critical power modules Module 1F6,26.33.H1.UPS,2025-11-14,2026-03-21,0
NB100030,Test & energize Hall 1 Critical power modules Module 1F6,26.33.H1.UPS,2025-10-02,2025-12-28,0.126
NB100031,Receive & set Hall 1 Power track Run 1-01,26.25.H1.BUS,2025-11-23,2026-03-29,0
NB100032,Install & terminate Hall 1 Power track Run 1-01,26.25.H1.BUS,2025-12-04,2026-04-12,0
NB100033,Test & energize Hall 1 Power track Run 1-01,26.25.H1.BUS,2025-12-07,2026-01-20,0
NB100034,Receive & set Hall 1 Power track Run 1-02,26.25.H1.BUS,2026-02-28,2026-06-02,0
NB100035,Install & terminate Hall 1 Power track Run 1-02,26.25.H1.BUS,2026-02-07,2026-06-27,0
NB100036,Test & energize Hall 1 Power track Run 1-02,26.25.H1.BUS,2025-11-19,2026-02-11,0
NB100037,Receive & set Hall 1 Power track Run 1-03,26.25.H1.BUS,2026-04-06,2026-07-01,0
NB100038,Install & terminate Hall 1 Power track Run 1-03,26.25.H1.BUS,2025-10-28,2025-12-14,0
,Test & energize Hall 1 Power track Run 1-03,26.25.H1.BUS,2025-11-15,2026-02-01,15
NB100040,Receive & set Hall 1 Power track Run 1-04,26.25.H1.BUS,2026-04-17,2026-09-04,0
NB100041,Install & terminate Hall 1 Power track Run 1-04,26.25.H1.BUS,2025-10-17,2025-11-29,0
NB100042,Test & energize Hall 1 Power track Run 1-04,26.25.H1.BUS,2025-12-04,2026-04-28,0
NB100043,Receive & set Hall 1 Power track Run 1-05,26.25.H1.BUS,2025-10-20,2026-01-31,0
NB100044,Install & terminate Hall 1 Power track Run 1-05,26.25.H1.BUS,2026-02-21,2026-06-07,0.0
NB100045,Test & energize Hall 1 Power track Run 1-05,26.25.H1.BUS,2025-10-15,2025-11-25,0
NB100046,Receive & set Hall 1 Power track Run 1-06,26.25.H1.BUS,2026-04-05,2026-08-18,0
NB100047,Install & terminate Hall 1 Power track Run 1-06,26.25.H1.BUS,2026-04-03,2026-08-15,0
NB100048,Test & energize Hall 1 Power track Run 1-06,26.25.H1.BUS,2025-12-25,2026-02-05,0
NB100049,Set Hall 1 Computer Room Air Handler Unit 1-01,23.81.H1.CRAH,2026-01-13,2026-04-19,21
NB100050,Install & connect Hall 1 Computer Room Air Handler Unit 1-01,23.81.H1.CRAH,2026-02-11,2026-06-01,4
NB100051,Flush & commission Hall 1 Computer RoomA ir Handler Unit 1-01,23.81.H1.CRAH,2026-04-03,2026-06-18,0
NB100052,Set Hall 1 Computer Room Air Handler Unit 1-02,23.81.H1.CRAH,2026-01-16,2026-05-21,0
NB100053,Install & connect Hall 1 Computer Room Air Handler Unit 1-02,23.81.H1.CRAH,2026-03-27,2026-05-07,36
NB100054,Flush & commission Hall 1 Computer Room Air Handler Unit 1-02,23.81.H1.CRAH,2025-11-14,2026-02-12,0
NB100055,Set Hall 1 Computer Room Air Handler Unit 1-03,23.81.H1.CRAH,2026-03-14,2026-06-12,27
NB100056,Install & connect Hall 1 Computer Room Air Handler Unit 1-03,23.81.H1.CRAH,2026-01-12,2026-02-12,73
NB100057,Flush & commission Hall 1 Computer Room Air Handler Unit 1-03,23.81.H1.CRAH,2026-02-12,2026-04-15,0
NB100058,Set Hall 1 Computer Room Air Handler Unit 1-04,23.81.H1.CRAH,2025-11-16,2026-01-22,0
NB100059,,23.81.H1.CRAH,2026-03-12,2026-07-21,0.0
NB100060,Flush & commission Hall 1 Computer Room Air Handler Unit 1-04,23.81.H1.CRAH,2025-11-07,2026-01-01,0
NB100061,Set Hall 1 Computer Room Air Handler Unit 1-05,23.81.H1.CRAH,2026-02-03,2026-02-27,100
NB100062,Install & connect Hall 1 Computer Room Air Handler Unit 1-05,23.81.H1.CRAH,2026-02-19,2026-06-03,0
NB100063,Flush & commission Hall 1 Computer Room Air Handler Unit 1-05,23.81.H1.CRAH,2026-01-01,2026-05-27,0
NB100064,Set Hall 1 Computer Room Air Handler Unit 1-06,23.81.H1.CRAH,2025-11-11,2026-01-20,0
NB100065,Install & connect Hall 1 Computer Room Air Handler Unit 1-06,23.81.H1.CRAH,2026-03-20,2026-05-01,0
NB100066,Flush & commission Hall 1 Computer Roo mAir Handler Unit 1-06,23.81.H1.CRAH,2026-04-14,2026-07-10,17
NB100067,Set Hall 1 Process cooling water Loop 1A,23.21.H1.CHW,2026-03-11,2026-07-02,2
NB100068,Install & connect Hall 1 Process cooling water Loop 1A,23.21.H1.CHW,2026-02-21,2026-03-21,61
NB100069,Flush & commission Hall 1 Process cooling water Loop 1A,23.21.H1.CHW,2025-10-21,2026-02-27,0.0
NB100070,,23.21.H1.CHW,2025-10-25,2026-03-02,0
NB100071,Install & connect Hall 1 Process cooling water Loop 1B,23.21.H1.CHW,2026-04-12,2026-08-26,0
NB100072,Flush & commission Hall 1 Process cooling water Loop 1B,23.21.H1.CHW,2025-10-02,2026-02-21,0
NB100073,Set Hall 1 Process cooling water Loop 1C,23.21.H1.CHW,2026-02-12,2026-04-21,0.624
NB100074,Install & connect Hall 1 Process cooling water Loop 1C,23.21.H1.CHW,2026-04-18,2026-07-23,0
NB100075,Flush & commission Hall 1 Process cooling water Loop 1C,23.21.H1.CHW,2026-02-26,2026-07-18,0
NB100076,Flush & commission Hall 1 Process cooling water Loop 1C,25.10.H1.BMS,2026-02-05,2026-03-01,46
NB100077,Program Hall 1 BMS Panel DDC-101,25.10.H1.BMS,2026-01-25,2026-03-14,27
NB100078,Integrated test Hall 1 BMS Panel DDC-101,25.10.H1.BMS,2026-02-04,2026-06-04,0
NB100079,Install panels Hall 1 BMS Panel DDC-102,25.10.H1.BMS,2026-02-07,2026-03-01,0
NB100080,Program Hall 1 BMS Panel DDC-102,25.10.H1.BMS,2025-12-20,2026-01-18,31
NB100081,Integrated test Hall 1 BMS Panel DDC-102,25.10.H1.BMS,2026-02-22,2026-07-21,0
NB100082,Install panels Hall 1 BMS Panel DDC-103,25.10.H1.BMS,2026-02-15,2026-03-31,0
NB100083,Program Hall 1 BMS Panel DDC-103,25.10.H1.BMS,2025-11-27,2026-03-01,22
NB100084,Integrated test Hall 1 BMS Panel DDC-103,25.10.H1.BMS,2026-02-13,2026-04-26,22
NB100085,Install panels Hall 1 BMS Panel DDC-104,25.10.H1.BMS,2026-02-19,2026-06-12,0
NB100086,Program Hall 1 BMS Panel DDC-104,25.10.H1.BMS,2026-02-25,2026-05-03,22
NB100087,Integrated test Hall 1 BMS Panel DDC-104,25.10.H1.BMS,2026-02-25,2026-04-24,53
NB100088,Install panels Hall 1 BMS Panel DDC-105,25.10.H1.BMS,2025-11-19,2026-03-12,3
NB100089,Program Hall 1 BMS Panel DDC-105,25.10.H1.BMS,2025-10-07,2025-10-30,0
NB100090,Integrated test Hall 1 BMS Panel DDC-105,25.10.H1.BMS,2026-03-08,2026-05-04,24
NB100091,Install panels Hall 1 BMS Panel DDC-106,25.10.H1.BMS,2026-01-29,2026-05-13,0
