Owner Cost Line,Description,Budget,Actual to Date
4610.01.01,Hall 1 MV Switchgear,3776000.0,0.0
4610.01.02,Hall 1 UPS Modules,6170000.0,0.0
4610.01.03,Hall 1 Busway,3200000.0,1428800.0
4620.01.04,Hall 1 CRAH Units,3988000.0,814900.0
4620.01.05,Hall 1 Chilled Water Piping,6899000.0,1606500.0
4630.01.06,Hall 1 Building Management System,5072000.0,0.0
4630.01.07,Hall 1 Electrical Power Monitoring,6575000.0,3072700.0
4610.02.01,Hall 2 MV Swicthgear,5153000.0,0.0
4610.02.02,Hall 2 UPS Modules,6075000.0,0.0
4610.02.03,Hall 2 Busway,958000.0,0.0
4620.02.04,Hall 2 CRAH Units,6563000.0,0.0
4620.02.05,Hall 2 Chilled Water Piping,2546000.0,12400.0
4630.02.06,Hall 2 Building Management System,3649000.0,1015900.0
4630.02.07,Hall 2 Electrical Power Monitoring,6830000.0,0.0
4610.03.01,Hall 3 MV Switchgear,2128000.0,383700.0
4610.03.02,Hall 3 USP Modules,5755000.0,0.0
4610.03.03,Hall 3 Busway,3309000.0,1208600.0
4620.03.04,Hall 3 CARH Units,1473000.0,700000.0
4620.03.05,Hall 3 Chilled Water Piping,4643000.0,3578900.0
4630.03.06,Hall 3 Building Management System,5700000.0,0.0
4630.03.07,Hall 3 Electrical Power Monitoring,5846000.0,2763200.0
4900.10.01,Owner builder's risk insurance,200000.0,0.0
4900.11.01,Owner's representative fees,400000.0,46100.0
4900.12.01,Utility interconnection deposit,700000.0,609200.0
