Equipment Tag,Description,Value,Fabrication %,Status
SWG-S1H1-001,MV Switchgear Lineup 1AH all 1,900000.0,17,Open
SWG-S1H1-002,MV Switchgear Lineup 1B Hall 1,2500000.0,0,Open
SWG-S1H1-003,MV Switchgear Lineup 1C Hall 1,300000.0,1,Open
SWG-S1H1-004,MV Switchgear Lineup 1D Hall 1,700000.0,0,Open
UPS-S1H1-001,UPS Modules Module 1A1 Hall 1,2000000.0,0,Open
UPS-S1H1-002,UPS Modules Module 1B2 aHll 1,1400000.0,44,Open
UPS-S1H1-003,UPS Modules Module 1C3 Hall 1,2200000.0,31,Open
UPS-S1H1-004,UPS Modules Module 1D4 Hall 1,2100000.0,0.0,Open
UPS-S1H1-005,UPS Modules Module 1E5 Hall 1,2900000.0,100,Delivered
UPS-S1H1-006,UPS Modules Module 1F6 Hall 1,800000.0,30,Open
CRAH-S1H1-001,CRAH Units Unit 1-01 Hall 1,400000.0,0,Open
CRAH-S1H1-002,CRAH Units Unit 1-02 Hall 1,500000.0,0,Open
CRAH-S1H1-003,CRAH Units Unit 1-03 Hall 1,2700000.0,69,Open
CRAH-S1H1-004,CRAH Units Unit 1-04 Hall 1,1200000.0,21,Open
CRAH-S1H1-005,CRAH Units Unit 1-05 Hall 1,2800000.0,0,Open
CRAH-S1H1-006,CRAH Units Unit 1-06 Hall 1,2600000.0,0,Open
SWG-S1H2-001,MV Switchgear Lineup 2A Hall 2,800000.0,0,Open
SWG-S1H2-002,MV Switchgear Lineup 2B Hall 2,1500000.0,47,Open
SWG-S1H2-003,MV Switchgear Lineup 2C Hall 2,2600000.0,30,Open
SWG-S1H2-004,MV Switchgear Lineup 2D Hall 2,2000000.0,33,Open
UPS-S1H2-001,UPS Modules Module 2A1 Hall 2,2000000.0,20,Open
UPS-S1H2-002,UPS Modules Module 2B2 Hall 2,2300000.0,41,Open
UPS-S1H2-003,UPS Modules Module 2C3 Hall 2,1900000.0,0,Open
UPS-S1H2-004,UPS Modules Module 2D4 Hall 2,1900000.0,0,Open
CRAH-S1H2-001,CRAH Units Unit 2-01 Hall 2,1000000.0,20,Open
CRAH-S1H2-002,CRAH Units Unit 2-01 Hall 2,2400000.0,31,Open
CRAH-S1H2-003,CRAH Units Unit 2-03 Hall 2,1100000.0,0,Open
CRAH-S1H2-004,CRAH Units Unit 2-04 Hall 2,2100000.0,2,Open
CRAH-S1H2-005,CRAH Units Unit 2-05 Hall 2,2300000.0,0,Open
CRAH-S1H2-006,CRAH Units Unit 2-06 Hall 2,1100000.0,0,Open
CRAH-S1H2-007,CRAH Units Unit 2-07 Hall 2,2000000.0,58,Open
SWG-S1H3-001,MV Switchgaer Lineup 3A Hall 3,900000.0,0,Open
SWG-S1H3-002,MV Switchgear Lineup 3B Hall 3,1400000.0,0,Open
SWG-S1H3-003,MV Switchgear Lineup 3C Hall 3,300000.0,0,Open
UPS-S1H3-001,UPS Modules Module 3A1 Hall 3,2000000.0,56,Open
UPS-S1H3-002,UPS Modules Module 3B2 Hall 3,2600000.0,18,Open
UPS-S1H3-003,UPS Modules Module 3C3 Hall 3,3000000.0,0,Open
UPS-S1H3-004,UPS Modules Module 3D4 Hall 3,500000.0,27,Open
UPS-S1H3-005,UPS Modules Module 3E5 Hall 3,1400000.0,16,Open
UPS-S1H3-006,UPS Modules Module 3F6 Hall 3,1100000.0,0,Open
CRAH-S1H3-001,CRAH Units Unit 3-01 Hall 3,2500000.0,0,Open
CRAH-S1H3-002,CRAH Units Unit 3-02 Hall 3,2000000.0,0.0,Open
CRAH-S1H3-003,CRAH Units Unit 3-03 Hall 3,400000.0,45,Open
CRAH-S1H3-004,CRAH Units Unit 3-04 Hall 3,2000000.0,32,Open
CRAH-S1H3-005,CRAH Units Unit 3-05 Hall 3,1800000.0,0,Open
CRAH-S1H3-006,CRAH Units Unit 3-06 Hall 3,400000.0,0,Open
CRAH-S1H3-007,CRAH Units Unit 3-07 Hall 3,1200000.0,19,Open
CRAH-S1H3-008,CRAH Units Unit 3-08 Hall 3,1900000.0,0,Open
