Ref,Work Item,Zone,Progress
CT2110001,Install BAS Panel DDC-101,Data Hall 1,0
CT2110002,Program BAS Panel DDC-101,Data Hall 1,47
CT2110003,Point-to-point BAS Panel DDC-101,Data Hall 1,3
CT2110004,Install BAS Panel DDC-102,Data Hall 1,0.551
CT2110005,Program BAS Panel DDC-102,Data Hall 1,0
CT2114500,Point-to-point BAS Panel DDC-102,Data Hall 1,0
CT2110007,Install BAS Panel DDC-103,Data Hall 1,0
CT2110008,Program BAS Panel DDC-103,Data Hall 1,0
CT2110009,Point-to-point BAS Panel DDC-103,Data Hall 1,8
CT2110010,Install BAS Panel DDC-104,Data Hall 1,0
CT2110011,Program BAS Panel DDC-104,Data Hall 1,21
CT2110012,Point-to-point BAS Panel DDC-104,Data Hall 1,0
CT2110013,Install BAS Panel DDC-105,Data Hall 1,28
CT2110014,Program BAS Panel DDC-105,Data Hall 1,0
CT2110015,Point-to-point BAS Panel DDC-105,Data Hall 1,62
CT2110016,Install BAS Panel DDC-106,Data Hall 1,0
CT2110017,Program BAS Panel DD-C106,Data Hall 1,31
CT2110018,Point-to-point BAS Panel DDC-106,Data Hall 1,0
CT2110019,Install BAS Panel DDC-107,Data Hall 1,0
CT2110020,Program BAS Panel DDC-107,Data Hall 1,24
CT2110021,Point-to-point BAS Panel DDC-107,Data Hall 1,37
CT2110022,Install BAS Panel DDC-108,Data Hall 1,19
CT2110023,Program BAS Panel DDC-108,Data Hall 1,0
CT2110024,Point-to-point BAS Panel DDC-108,Data Hall 1,11
CT2120025,Install BAS Panel DDC-201,Data Hall 2,0
CT2120026,Program BAS Panel DDC-201,Data Hall 2,0
CT2120027,Point-to-point BAS Panel DDC-201,Data Hall 2,0
CT2120028,Install BAS Panel DDC-202,Data Hall 2,0
CT2120029,Program BAS Panel DDC-202,Data Hall 2,19
CT2120030,Point-to-point BAS Panel DDC-202,Data Hall 2,0
CT2120031,Install BAS Panel DDC-203,Data Hall 2,0
CT2120032,Program BAS Panel DDC-203,Data Hall 2,0.0
CT2120033,Point-to-point BAS Panel DDC-203,Data Hall 2,0
CT2124501,Install BAS Panel DDC-204,Data Hall 2,14
CT2120035,Program BAS Panel DDC-204,Data Hall 2,0
CT2120036,Point-to-point BAS Panel DDC-204,Data Hall 2,0
CT2120037,Install BAS Panel DDC-205,Data Hall 2,31
CT2120038,Program BAS Panel DDC-205,Data Hall 2,43
CT2120039,Point-to-point BAS Panel DDC-205,Data Hall 2,0
CT2120040,Install BAS Panel DDC-206,Data Hall 2,0
CT2120041,Program BAS Panel DDC-206,Data Hall 2,4
CT2120042,Point-to-point BAS Panel DDC-206,Data Hall 2,0
CT2120043,,Data Hall 2,0
CT2120044,Program BAS Panel DDC-207,Data Hall 2,0
CT2120045,Point-to-point BAS Panel DDC-207,Data Hall 2,0
CT2130046,Install BAS Panel DDC-301,Data Hall 3,10
CT2130047,Program BAS Panel DDC-301,Data Hall 3,0
CT2134502,Point-to-point BAS Panel DDC-301,Data Hall 3,16
CT2130049,Install BAS Panel DDC-302,Data Hall 3,0
CT2130050,Program BAS Panel DDC-302,Data Hall 3,0
CT2130051,Point-to-point BAS Panel DDC-302,Data Hall 3,31
CT2130052,Install BAS Panel DDC-303,Data Hall 3,40
CT2130053,Program BAS Panel DDC-303,Data Hall 3,46
CT2130054,Program BAS Panel DDC-303,Data Hall 3,47
CT2130055,Install BAS Panel DDC-304,Data Hall 3,0
CT2130056,Program BAS Panel DDC-304,Data Hall 3,21
CT2130057,Point-to-point BAS Panel DDC-304,Data Hall 3,38
CT2130058,Install BAS Panel DDC-305,Data Hall 3,0
CT2130059,Program BAS Panel DDC-305,Data Hall 3,0
CT2130060,Point-to-point BAS Panel DDC-305,Data Hall 3,6
CT2130061,Install BAS Panel DDC-306,Data Hall 3,0
CT2130062,Program BAS Panel DDC-306,Data Hall 3,0
CT2130063,Point-to-point BAS Panel DDC-306,Data Hall 3,10
CT2130064,Install BAS Panel DDC-307,Data Hall 3,0
CT2130065,Program BAS Panel DDC-307,Data Hall 3,0
CT2130066,Point-to-point BAS Panel DDC-307,Data Hall 3,39
