Task,Area,Scope,Complete %
EL4/H1/BUS/01,H1,Set Busduct Run 1-01,0
EL4/H1/BUS/02,H1,Terminate Busduct Run 1-01,0
EL4/H1/BUS/03,H1,Test Busduct Run 1-01,0
EL4/H1/BUS/04,H1,Set Busduct Run 1-02,57
EL4/H1/BUS/05,H1,Terminate Busduct Run 1-02,0
EL4/H1/BUS/06,H1,Test Busduct Run 1-02,0
EL4/H1/BUS/07,H1,Set Busduct Run 1-03,0.0
EL4/H1/BUS/08,H1,Terminate Busduct Run 1-03,14
EL4/H1/BUS/09,H1,Test Busduct Run 1-03,10
EL4/H1/BUS/10,H1,Set Busduct Run 1-04,0.0
EL4/H1/BUS/11,H1,Terminate Busduct Run 1-04,0
EL4/H1/BUS/12,H1,Test Busduct Run 1-04,16
EL4/H1/BUS/13,H1,Set Busduct Run 1-05,21
EL4/H1/BUS/14,H1,Terminate Busduct Run 1-05,0
EL4/H1/BUS/15,H1,Test Busduct Run 1-05,0
EL4/H1/BUS/16,H1,Set Busduct Run 1-06,0
EL4/H1/BUS/17,H1,Terminate Busduct Run 1-06,2
EL4/H1/BUS/18,H1,Test Busduct Run 1-06,0
EL4/H2/BUS/19,H2,Set Busduct Run 2-01,26
EL4/H2/BUS/20,H2,Terminate Busduct Run 2-01,66
EL4/H2/BUS/21,H2,Test Busduct Run 2-01,0
EL4/H2/BUS/22,H2,Set Busduct Run 2-02,0
EL4/H2/BUS/23,H2,Terminate Busduct Run 2-02,0
EL4/H2/BUS/24,H2,Test Busduct Run 2-02,0
EL4/H2/BUS/25,H2,Set Busduct Run 2-03,0
EL4/H2/BUS/26,H2,Terminate Busduct Run 2-03,0
EL4/H2/BUS/27,H2,Test Busduct Run 2-03,12
EL4/H2/BUS/28,H2,Set Busduct Run 2-04,15
EL4/H2/BUS/29,H2,Terminate Busduct Run 2-04,0
EL4/H2/BUS/30,H2,Test Busduct Run 2-04,0
EL4/H2/BUS/31,H2,Set Busduct Run 2-05,0.0
EL4/H2/BUS/32,H2,Terminate Busduct Run 2-05,0
EL4/H2/BUS/33,H2,Test Busduct Run 2-05,0
EL4/H2/BUS/34,H2,Set Busduct Run 2-06,0
EL4/H2/BUS/35,H2,Terminate Busduct Run 2-06,0
EL4/H2/BUS/36,H2,Test Busduct Run 2-06,0
EL4/H2/BUS/37,H2,Set Busduct Run 2-07,0
EL4/H2/BUS/38,H2,Terminate Busduct Run 2-07,0
EL4/H2/BUS/39,H2,Test Busduct Run 2-07,0
EL4/H2/BUS/40,H2,Set Busduct Run 2-08,0
EL4/H2/BUS/41,H2,Terminate Busduct Run 2-08,0
EL4/H2/BUS/42,H2,Test Busduct Run 2-08,15
EL4/H3/BUS/43,H3,Set Busduct Run 3-01,0
EL4/H3/BUS/44,H3,Terminate Busduct Run 3-01,0
EL4/H3/BUS/45,H3,Test Busduct Run 3-01,0
EL4/H3/BUS/46,H3,Set Busduct Run 3-02,0
EL4/H3/BUS/47,H3,Terimnate Busduct Run 3-02,17
EL4/H3/BUS/48,H3,Test Busduct Run 3-02,0
EL4/H3/BUS/49,H3,Set Busduct Run 3-03,0
EL4/H3/BUS/50,H3,Terminate Busduct Run 3-03,8
EL4/H3/BUS/51,H3,Test Busduct Run 3-03,0
EL4/H3/BUS/52,H3,Set Busduct Run 3-04,0
EL4/H3/BUS/53,H3,Terminate Busduct Run 3-04,0
EL4/H3/BUS/54,H3,Test Busduct Run 3-04,3
EL4/H3/BUS/55,H3,Set Busduct Run 3-05,9
EL4/H3/BUS/56,H3,Terminate Busduct Run 3-05,0
EL4/H3/BUS/57,H3,Test Busduct Run 3-05,0
