Line No,Description,Location,Pct
61867,Fabrication Uninterruptible Power Supply Module 1A1,DH1,8
10002,Fabrication Uninterruptible Power Supply Module 1B2,DH1,0
61869,Fabrication Uninterruptible Power Supply Module 1C3,DH1,0
10004,Fabrication Uninterruptible Power Supply Module 1D4,DH1,0
10005,Fabrication Uninterruptible Power Supply Module 1E5,DH1,0
10006,Fabrication Uninterruptible Power Supply Module 1F6,DH1,82
61848,Fabrication Uninterruptible Power Supply Module 2A1,DH2,0
61850,Fabrication Uninterruptible Power Spuply Module 2B2,DH2,0
61852,Fabrication Uninterruptible Power Supply Module 2C3,DH2,75
61854,Fabrication Uninterruptible Power Supply Module 2D4,DH2,0
61868,Fabrication Uninterruptible Power Supply Module 3A1,DH3,12
61858,Fabrication Uninterruptible Power Supply Module 3B2,DH3,0.73
61870,Fabrication Uninterruptible Power Supply Module 3C3,DH3,0
61862,Fabrication Uninterruptible Power Supply Module 3D4,DH3,0
61864,Fabrication Uninterruptible Power Supply Module 3E5,DH3,1
61866,Fabrication Uninterruptible Power Supply Module 3F6,DH3,33
